time,cell_id,generation,type,effect_size,mutation_string
34,3,1,down,0.0,Plk1_rate_down_0
34,3,1,down,0.0,Plk1_rate_down_0
34,3,1,down,0.0,Plk1_rate_down_0
34,4,2,down,0.0,Plk1_rate_down_0
34,4,2,down,0.0,Plk1_rate_down_0
34,4,2,down,0.0,Plk1_rate_down_0
34,5,2,down,0.0,Plk1_rate_down_0
34,5,2,down,0.0,Plk1_rate_down_0
34,5,2,down,0.0,Plk1_rate_down_0
34,5,2,down,0.0,Plk1_rate_down_0
34,6,1,down,0.0,Plk1_rate_down_0
34,6,1,down,0.0,Plk1_rate_down_0
34,7,2,down,0.0,Plk1_rate_down_0
34,7,2,down,0.0,Plk1_rate_down_0
34,7,2,down,0.0,Plk1_rate_down_0
34,8,2,down,0.0,Plk1_rate_down_0
34,8,2,down,0.0,Plk1_rate_down_0
34,9,1,down,0.0,Plk1_rate_down_0
34,9,1,down,0.0,Plk1_rate_down_0
34,10,2,down,0.0,Plk1_rate_down_0
34,10,2,down,0.0,Plk1_rate_down_0
34,10,2,down,0.0,Plk1_rate_down_0
34,11,3,down,0.0,Plk1_rate_down_0
34,11,3,down,0.0,Plk1_rate_down_0
34,11,3,down,0.0,Plk1_rate_down_0
34,12,3,down,0.0,Plk1_rate_down_0
34,12,3,down,0.0,Plk1_rate_down_0
34,12,3,down,0.0,Plk1_rate_down_0
34,13,2,down,0.0,Plk1_rate_down_0
34,13,2,down,0.0,Plk1_rate_down_0
34,13,2,down,0.0,Plk1_rate_down_0
34,14,1,down,0.0,Plk1_rate_down_0
34,14,1,down,0.0,Plk1_rate_down_0
34,14,1,down,0.0,Plk1_rate_down_0
34,14,1,down,0.0,Plk1_rate_down_0
34,15,2,down,0.0,Plk1_rate_down_0
34,15,2,down,0.0,Plk1_rate_down_0
34,16,2,down,0.0,Plk1_rate_down_0
34,16,2,down,0.0,Plk1_rate_down_0
34,16,2,down,0.0,Plk1_rate_down_0
34,16,2,down,0.0,Plk1_rate_down_0
34,17,3,down,0.0,Plk1_rate_down_0
34,17,3,down,0.0,Plk1_rate_down_0
34,17,3,down,0.0,Plk1_rate_down_0
34,17,3,down,0.0,Plk1_rate_down_0
34,18,4,down,0.0,Plk1_rate_down_0
34,18,4,down,0.0,Plk1_rate_down_0
34,18,4,down,0.0,Plk1_rate_down_0
34,19,3,down,0.0,Plk1_rate_down_0
34,19,3,down,0.0,Plk1_rate_down_0
34,19,3,down,0.0,Plk1_rate_down_0
35,0,0,down,0.0,Plk1_rate_down_0
35,0,0,down,0.0,Plk1_rate_down_0
35,0,0,down,0.0,Plk1_rate_down_0
35,2,1,down,0.0,Plk1_rate_down_0
35,2,1,down,0.0,Plk1_rate_down_0
35,2,1,down,0.0,Plk1_rate_down_0
35,3,1,down,0.0,Plk1_rate_down_0
35,3,1,down,0.0,Plk1_rate_down_0
35,3,1,down,0.0,Plk1_rate_down_0
35,4,2,down,0.0,Plk1_rate_down_0
35,4,2,down,0.0,Plk1_rate_down_0
35,4,2,down,0.0,Plk1_rate_down_0
35,5,2,down,0.0,Plk1_rate_down_0
35,5,2,down,0.0,Plk1_rate_down_0
35,5,2,down,0.0,Plk1_rate_down_0
35,5,2,down,0.0,Plk1_rate_down_0
35,6,1,down,0.0,Plk1_rate_down_0
35,6,1,down,0.0,Plk1_rate_down_0
35,7,2,down,0.0,Plk1_rate_down_0
35,7,2,down,0.0,Plk1_rate_down_0
35,7,2,down,0.0,Plk1_rate_down_0
35,8,2,down,0.0,Plk1_rate_down_0
35,8,2,down,0.0,Plk1_rate_down_0
35,9,1,down,0.0,Plk1_rate_down_0
35,9,1,down,0.0,Plk1_rate_down_0
35,10,2,down,0.0,Plk1_rate_down_0
35,10,2,down,0.0,Plk1_rate_down_0
35,10,2,down,0.0,Plk1_rate_down_0
35,11,3,down,0.0,Plk1_rate_down_0
35,11,3,down,0.0,Plk1_rate_down_0
35,11,3,down,0.0,Plk1_rate_down_0
35,12,3,down,0.0,Plk1_rate_down_0
35,12,3,down,0.0,Plk1_rate_down_0
35,12,3,down,0.0,Plk1_rate_down_0
35,13,2,down,0.0,Plk1_rate_down_0
35,13,2,down,0.0,Plk1_rate_down_0
35,13,2,down,0.0,Plk1_rate_down_0
35,14,1,down,0.0,Plk1_rate_down_0
35,14,1,down,0.0,Plk1_rate_down_0
35,14,1,down,0.0,Plk1_rate_down_0
35,14,1,down,0.0,Plk1_rate_down_0
35,15,2,down,0.0,Plk1_rate_down_0
35,15,2,down,0.0,Plk1_rate_down_0
35,16,2,down,0.0,Plk1_rate_down_0
35,16,2,down,0.0,Plk1_rate_down_0
35,16,2,down,0.0,Plk1_rate_down_0
35,16,2,down,0.0,Plk1_rate_down_0
35,17,3,down,0.0,Plk1_rate_down_0
35,17,3,down,0.0,Plk1_rate_down_0
35,17,3,down,0.0,Plk1_rate_down_0
35,17,3,down,0.0,Plk1_rate_down_0
35,18,4,down,0.0,Plk1_rate_down_0
35,18,4,down,0.0,Plk1_rate_down_0
35,18,4,down,0.0,Plk1_rate_down_0
35,19,3,down,0.0,Plk1_rate_down_0
35,19,3,down,0.0,Plk1_rate_down_0
35,19,3,down,0.0,Plk1_rate_down_0
36,0,0,down,0.0,Plk1_rate_down_0
36,0,0,down,0.0,Plk1_rate_down_0
36,0,0,down,0.0,Plk1_rate_down_0
36,2,1,down,0.0,Plk1_rate_down_0
36,2,1,down,0.0,Plk1_rate_down_0
36,2,1,down,0.0,Plk1_rate_down_0
36,3,1,down,0.0,Plk1_rate_down_0
36,3,1,down,0.0,Plk1_rate_down_0
36,3,1,down,0.0,Plk1_rate_down_0
36,4,2,down,0.0,Plk1_rate_down_0
36,4,2,down,0.0,Plk1_rate_down_0
36,4,2,down,0.0,Plk1_rate_down_0
36,5,2,down,0.0,Plk1_rate_down_0
36,5,2,down,0.0,Plk1_rate_down_0
36,5,2,down,0.0,Plk1_rate_down_0
36,5,2,down,0.0,Plk1_rate_down_0
36,6,1,down,0.0,Plk1_rate_down_0
36,6,1,down,0.0,Plk1_rate_down_0
36,7,2,down,0.0,Plk1_rate_down_0
36,7,2,down,0.0,Plk1_rate_down_0
36,7,2,down,0.0,Plk1_rate_down_0
36,8,2,down,0.0,Plk1_rate_down_0
36,8,2,down,0.0,Plk1_rate_down_0
36,9,1,down,0.0,Plk1_rate_down_0
36,9,1,down,0.0,Plk1_rate_down_0
36,10,2,down,0.0,Plk1_rate_down_0
36,10,2,down,0.0,Plk1_rate_down_0
36,10,2,down,0.0,Plk1_rate_down_0
36,11,3,down,0.0,Plk1_rate_down_0
36,11,3,down,0.0,Plk1_rate_down_0
36,11,3,down,0.0,Plk1_rate_down_0
36,12,3,down,0.0,Plk1_rate_down_0
36,12,3,down,0.0,Plk1_rate_down_0
36,12,3,down,0.0,Plk1_rate_down_0
36,13,2,down,0.0,Plk1_rate_down_0
36,13,2,down,0.0,Plk1_rate_down_0
36,13,2,down,0.0,Plk1_rate_down_0
36,14,1,down,0.0,Plk1_rate_down_0
36,14,1,down,0.0,Plk1_rate_down_0
36,14,1,down,0.0,Plk1_rate_down_0
36,14,1,down,0.0,Plk1_rate_down_0
36,15,2,down,0.0,Plk1_rate_down_0
36,15,2,down,0.0,Plk1_rate_down_0
36,16,2,down,0.0,Plk1_rate_down_0
36,16,2,down,0.0,Plk1_rate_down_0
36,16,2,down,0.0,Plk1_rate_down_0
36,16,2,down,0.0,Plk1_rate_down_0
36,17,3,down,0.0,Plk1_rate_down_0
36,17,3,down,0.0,Plk1_rate_down_0
36,17,3,down,0.0,Plk1_rate_down_0
